"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
59002374,6.4,8.5,6.6,NA,NA,NA,7.75,7,7.75,"Cantonese"
59002376,4.6,7,5.8,NA,NA,NA,6,5,5.25,"Cantonese"
59002383,6.4,6.75,9,NA,NA,NA,7.5,6.5,9,"Cantonese"
59002385,5.4,6,7,NA,NA,NA,4.75,5.5,6.75,"Cantonese"
59002389,5.4,7.75,5.8,NA,NA,NA,5.5,5,7.5,"Cantonese"
59002400,8,8.5,8.4,NA,NA,NA,8,7,9.75,"Cantonese"
59002418,3.6,6.5,6.4,NA,NA,NA,5,6.5,6.5,"Cantonese"
59002437,6.2,7.5,8.4,NA,NA,NA,5.5,7.25,8.5,"Cantonese"
59002441,4.6,7.5,4.6,NA,NA,NA,4.25,5,6.25,"Cantonese"
59002446,6.8,6.25,6.8,NA,NA,NA,6,5,7,"Cantonese"
59002449,7,8.75,9.4,NA,NA,NA,NA,NA,NA,"Cantonese"
59002452,7.2,4.25,7.6,NA,NA,NA,4.5,5.75,8.25,"Cantonese"
59002477,7,7,8.4,NA,NA,NA,9.5,8.5,9.5,"Cantonese"
59002487,3.8,7.75,7,NA,NA,NA,4.5,4.25,4,"Cantonese"
59002497,8.2,8.25,8.6,7.75,8.5,6.75,NA,NA,NA,"Cantonese"
59002521,7.2,8,8.8,7.5,8,6.5,NA,NA,NA,"Cantonese"
59002526,6.8,8.5,8.4,NA,NA,NA,7.25,7.5,7.75,"Cantonese"
59002530,7,8.5,7,NA,NA,NA,7.75,7.75,8,"Cantonese"
59002535,5.8,8.5,7.6,NA,NA,NA,4,5.5,7.75,"Cantonese"
59002552,7.4,8.5,8.6,NA,NA,NA,6.75,6.5,7.75,"Cantonese"
59002554,5.2,8.25,5,NA,NA,NA,7.75,6.25,7.25,"Cantonese"
59002555,3.4,7.75,6.4,NA,NA,NA,5.5,5.5,5.75,"Cantonese"
59002556,5.2,8.75,6.6,NA,NA,NA,6.25,6.5,6.75,"Cantonese"
59002566,7.4,8,8,6.5,7,6,NA,NA,NA,"Cantonese"
59002567,7,8.5,7,NA,NA,NA,8.25,6.75,8.25,"Cantonese"
59002580,6,8.25,8.2,NA,NA,NA,8,7.25,8.25,"Cantonese"
59002582,6.8,4.75,5.4,NA,NA,NA,5,7.25,7,"Cantonese"
59002583,7,9,7.8,NA,NA,NA,7,7.5,9.75,"Cantonese"
59002584,6,8,6.6,NA,NA,NA,3.75,6,4.75,"Cantonese"
59002585,5.2,7.5,7.4,NA,NA,NA,4.75,6.25,7.75,"Cantonese"
59002587,4,7.5,7.8,NA,NA,NA,4.25,6.25,5.75,"Cantonese"
59002591,6.2,9,8.6,NA,NA,NA,7.5,6.25,7.75,"Cantonese"
59002594,5,8.25,7.4,NA,NA,NA,6,6.25,7,"Cantonese"
59002603,6.8,8,7.8,NA,NA,NA,7,7.5,9,"Cantonese"
59002608,6,8.25,8.4,NA,NA,NA,6.5,7.75,7.25,"Cantonese"
59002613,6.6,4.75,6.8,NA,NA,NA,4.75,5.25,7.25,"Cantonese"
