"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1019304,7.6,6.75,8.8,4,6,5.5,NA,NA,NA,"French"
1019315,7.4,9,9.8,NA,NA,NA,8.25,7.5,8.5,"French"
1019322,8.2,9,9,NA,NA,NA,7.75,6.75,9.25,"French"
1019347,7,6.75,9.2,6,4.75,7.25,NA,NA,NA,"French"
1019351,7.8,9,9,NA,NA,NA,7.25,7.25,8.75,"French"
1019413,6.8,6,8,3.25,6.5,6.75,NA,NA,NA,"French"
1019827,7,9.25,9.2,NA,NA,NA,7.25,6.25,8.5,"French"
1019866,7.2,8.75,9.4,NA,NA,NA,7.75,6.75,9.25,"French"
1019894,6.4,9,9,NA,NA,NA,8.25,8.75,8.5,"French"
1019949,7.2,8.25,7.2,NA,NA,NA,7.75,8,8.75,"French"
1019966,5.8,7.5,7.8,NA,NA,NA,8,8.5,7.75,"French"
1019988,7.4,7,9.8,NA,NA,NA,8,7.75,8,"French"
1020345,8.8,8.25,9.8,6.25,9.5,7,NA,NA,NA,"French"
1020356,7.6,6.5,8,5.75,6.25,5.75,NA,NA,NA,"French"
1020391,8.4,8.75,9.6,7.75,9.5,7.75,NA,NA,NA,"French"
1020463,7.6,8,9.4,7.75,5.25,6.5,NA,NA,NA,"French"
1020637,7.6,9,9.6,NA,NA,NA,7.5,7.25,8.25,"French"
1020692,6.6,8,9.4,NA,NA,NA,7.75,7,8.25,"French"
1020714,8.4,8.75,9.8,NA,NA,NA,8.75,8.75,9,"French"
1020735,7.6,8.75,9.6,NA,NA,NA,8.5,8.75,8,"French"
1020736,6.2,8.25,8,NA,NA,NA,6.25,6.75,8.25,"French"
1020769,7.8,9,9.4,NA,NA,NA,8,8.25,9,"French"
1020788,8.4,8.75,9.2,NA,NA,NA,8.5,7.5,9.25,"French"
1021466,6,8.5,9,NA,NA,NA,8.5,7,8,"French"
1021474,8.4,9,10,NA,NA,NA,8.75,8.75,9.25,"French"
1021478,7.2,6.75,9,3,6.75,8.25,NA,NA,NA,"French"
1021484,7.2,8.25,9.8,NA,NA,NA,7.25,7.75,8.75,"French"
1021490,7.2,8.5,9.4,NA,NA,NA,7.75,7.75,8,"French"
1021520,9.2,8.75,9.8,9,7.25,7.75,NA,NA,NA,"French"
1021598,7.6,8.5,9.8,NA,NA,NA,8.5,7.5,8.25,"French"
1021651,8.4,8.25,9.2,NA,NA,NA,7.5,7.5,8.5,"French"
1021759,8.2,8,9.8,NA,NA,NA,8,8.25,8.5,"French"
1022085,7,8.25,10,NA,NA,NA,8.25,8.5,9.25,"French"
1022098,7.8,8.5,9.6,NA,NA,NA,7.75,8,8,"French"
1022209,7.2,8.75,9.6,NA,NA,NA,8.25,9,9,"French"
1022250,8.8,8.75,10,NA,NA,NA,7.75,7.75,9,"French"
1022335,6.8,8.75,9,NA,NA,NA,6.75,6.75,7.5,"French"
1022338,7.8,9.5,9.6,NA,NA,NA,6.5,7.75,8,"French"
1022380,7.6,8.25,9.6,NA,NA,NA,8,7.75,9.25,"French"
1022383,7.8,8.5,9.2,NA,NA,NA,7,7.75,7.75,"French"
1022493,7.8,7,10,8.5,3,5.5,NA,NA,NA,"French"
1022546,8,8.5,9.6,5.25,7.75,9,NA,NA,NA,"French"
1022565,7.4,8.5,8.8,NA,NA,NA,8.25,8.75,8.75,"French"
1022598,8.2,9.25,10,NA,NA,NA,7.5,8.25,9,"French"
1022601,7.2,9.5,9.6,NA,NA,NA,9,9,8.75,"French"
1022797,8.6,7,10,4.25,8.75,8.25,NA,NA,NA,"French"
1022842,7.8,8,9.6,7.5,8.25,8,NA,NA,NA,"French"
1022990,8.4,8.25,9.4,9.25,4.5,5.25,NA,NA,NA,"French"
1023065,8.4,8.5,9.8,6.5,9.25,8.25,NA,NA,NA,"French"
1023166,8.4,8.75,8.8,NA,NA,NA,8.5,9.25,8.75,"French"
1023225,6,9,9.2,NA,NA,NA,8.75,7.5,8.25,"French"
1023229,7.8,9.5,8.8,NA,NA,NA,7.75,7,8.25,"French"
1028796,6.4,8.75,3.8,NA,NA,NA,5.75,7.75,NA,"French"
1038526,7.8,5.75,7.2,NA,NA,NA,7,7.5,8.5,"French"
1057706,7.6,8.25,4.8,NA,NA,NA,4.5,7,7.75,"French"
1061525,8,8.75,8.8,7.25,4.25,5.25,NA,NA,NA,"French"
1061713,5.8,8,5.4,NA,NA,NA,NA,NA,NA,"French"
1061996,6.4,9.25,5.6,NA,NA,NA,4.5,6.5,6.75,"French"
1062722,6.4,9,5.8,NA,NA,NA,7.25,6.5,6.25,"French"
1065229,7.4,8.75,6.6,NA,NA,NA,NA,NA,NA,"French"
1067443,8.2,7.5,8,8.25,4.75,6.5,NA,NA,NA,"French"
1072079,8,6.75,9.2,NA,NA,NA,10,9,9.5,"French"
1107659,6.6,9.25,5.6,NA,NA,NA,5.5,6.5,7,"French"
2002320,6.4,8,6.6,NA,NA,NA,7.25,6,7,"French"
2002345,5,3.5,3.4,NA,NA,NA,5.5,7.25,7.75,"French"
2002350,5.8,7,4.2,NA,NA,NA,6.25,6.25,7.25,"French"
2002379,5.6,6.75,5.8,NA,NA,NA,7.5,7,7,"French"
2002418,6,7.75,5.4,3,6.75,7,NA,NA,NA,"French"
2002425,6,8.5,6,NA,NA,NA,7,8.25,8,"French"
2002511,8.6,6.5,5.4,8,7.5,8,NA,NA,NA,"French"
2002600,6.2,6.75,4,NA,NA,NA,5.75,6.75,7.5,"French"
2002634,7.6,6.75,6,3.5,9,8.5,NA,NA,NA,"French"
2002646,6.2,7.75,5.8,NA,NA,NA,6,7.75,8.25,"French"
2002653,6.8,7.5,7.8,NA,NA,NA,7.25,7,7.75,"French"
2002674,5.8,6.25,6.6,NA,NA,NA,7.75,8,8.75,"French"
2002715,5,5.75,4.4,NA,NA,NA,7,5.5,7,"French"
2002762,8.4,6.25,8,3.5,7,8.25,NA,NA,NA,"French"
2002782,8,6.5,5.6,7.75,8.5,7.25,NA,NA,NA,"French"
2002801,7.8,5.75,7.2,NA,NA,NA,5.5,6.25,9,"French"
2002814,6.8,5.75,8.4,NA,NA,NA,8,7.5,8.5,"French"
2002881,7,7.5,7.6,NA,NA,NA,7.5,7.75,9.25,"French"
2002890,5.8,5.25,4.2,5,6.5,5.5,NA,NA,NA,"French"
2002892,7.2,6.75,5.6,NA,NA,NA,7.5,8.75,8,"French"
2002893,8.4,7,8,NA,NA,NA,7.25,8.5,9,"French"
2002896,4.4,4,6.8,NA,NA,NA,5,5.25,8.5,"French"
2002899,6.2,7.25,5.4,NA,NA,NA,6,7.5,8.75,"French"
2002906,6.2,5.5,6.4,NA,NA,NA,6.75,8.75,7.75,"French"
2003003,8,6,8.2,6.75,8.5,6.75,NA,NA,NA,"French"
