"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1008140,8.6,9.25,9.4,NA,NA,NA,6.25,6.25,7.25,"Japanese"
1008252,6.8,8.25,4.8,NA,NA,NA,8,6.5,9.5,"Japanese"
1008755,7.8,8.75,7.6,NA,NA,NA,7.5,7.75,8.25,"Japanese"
1008782,8.4,9.5,9.6,NA,NA,NA,7,7,8,"Japanese"
1008965,7.8,8.5,4.4,NA,NA,NA,6.25,6.75,7.75,"Japanese"
1008999,8.6,9.5,10,NA,NA,NA,8.25,7.75,9.25,"Japanese"
1009010,8.4,9.5,9.8,NA,NA,NA,7.25,7.25,10,"Japanese"
1009012,8.8,9.5,9.4,NA,NA,NA,8.5,7.75,9,"Japanese"
1009082,7.6,9,8,NA,NA,NA,7.5,8.25,9.25,"Japanese"
1009108,7.4,9,6.8,NA,NA,NA,5.75,7.75,9,"Japanese"
1009557,8,8.75,8.8,NA,NA,NA,8,7.5,9.75,"Japanese"
1009590,7.8,9.25,6.2,NA,NA,NA,6.25,7.5,9.25,"Japanese"
1010192,7.6,9,9.2,NA,NA,NA,6.5,6.75,8,"Japanese"
1010220,8.2,7.75,4.6,NA,NA,NA,8.5,7.5,8,"Japanese"
1010305,7.8,7.75,7.8,7.75,4.5,6.25,NA,NA,NA,"Japanese"
1010311,8.4,9.25,8,NA,NA,NA,7.5,7.25,9,"Japanese"
1010328,8.8,7.5,9.6,9.25,5.5,6.5,NA,NA,NA,"Japanese"
1010344,5.8,6.75,3.4,4.75,4,2,NA,NA,NA,"Japanese"
1011092,8.6,8.25,10,NA,NA,NA,8.5,7.5,9,"Japanese"
1011094,8,8.75,9.4,NA,NA,NA,8,8,9.5,"Japanese"
1011167,8.6,8.25,8.4,NA,NA,NA,7.5,7,8.25,"Japanese"
1011208,9,9.25,8.2,NA,NA,NA,8,7.5,9,"Japanese"
1011227,8.6,9,9.8,NA,NA,NA,7,8.25,8.5,"Japanese"
1011630,8,9.25,8.4,NA,NA,NA,9.25,8.5,9.75,"Japanese"
1011685,7.6,8,8.8,NA,NA,NA,7.75,7,8,"Japanese"
1011698,7,8,9.2,NA,NA,NA,8.5,7,7.75,"Japanese"
1011717,7.8,8.5,9.4,NA,NA,NA,7,8.25,9,"Japanese"
1011750,7.8,9.5,9.8,NA,NA,NA,9.25,8,9.75,"Japanese"
1011754,8.2,9.25,9.6,NA,NA,NA,9.25,9,9.5,"Japanese"
1011778,7,8.75,8.4,NA,NA,NA,5.75,7.75,8.75,"Japanese"
1011793,8.6,9.5,9.8,NA,NA,NA,8.25,7.5,8.5,"Japanese"
1011797,9,9.25,8.8,NA,NA,NA,8,8.25,9,"Japanese"
1011811,7.4,8.75,9.2,NA,NA,NA,8,6.75,9,"Japanese"
1012330,9,8.5,8,NA,NA,NA,7.5,8.25,9,"Japanese"
1012331,8.2,8.5,9,NA,NA,NA,8,8,8.5,"Japanese"
1012332,8.8,7.75,7.2,NA,NA,NA,9,7.75,9.25,"Japanese"
1012498,7.8,9.25,9,NA,NA,NA,7.75,6.75,8.5,"Japanese"
1012577,8,8.75,6.2,NA,NA,NA,8.75,8.5,9.25,"Japanese"
1012677,7.4,8.5,10,NA,NA,NA,7,7.75,8.5,"Japanese"
1013075,9.2,8.25,8.8,5.5,5.25,3.75,NA,NA,NA,"Japanese"
1013467,8.6,8.75,9.2,NA,NA,NA,8.5,6,7.5,"Japanese"
1013478,8.2,8.75,10,NA,NA,NA,8,7,9,"Japanese"
1013554,7.4,8.25,6,NA,NA,NA,7.75,6.5,8,"Japanese"
