"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1098439,7.4,9.25,6.6,NA,NA,NA,8,8.5,9,"Korean"
1098669,8,8.75,3,5.25,7.75,4.5,NA,NA,NA,"Korean"
1101257,6,4.25,8.6,NA,NA,NA,3.25,7.75,7,"Korean"
1103330,7,7.25,7,NA,NA,NA,8,7.5,8.25,"Korean"
1103358,6.2,8,8.2,NA,NA,NA,5.25,5.75,7.5,"Korean"
1104770,7,8.25,8,NA,NA,NA,7.75,6.75,8.75,"Korean"
1104776,6.4,8.75,7.4,NA,NA,NA,7.5,8.5,8.75,"Korean"
1105144,5.6,8.5,9.6,NA,NA,NA,7.25,7,9,"Korean"
1106477,8.4,8.75,8.2,NA,NA,NA,7.25,7.5,9,"Korean"
1107590,7.8,5.75,9.6,NA,NA,NA,6.75,6.25,7,"Korean"
1107593,8.2,9,8.4,NA,NA,NA,8,6.25,9,"Korean"
1107852,7.6,8.75,9,NA,NA,NA,7.25,7.5,7.5,"Korean"
2002415,7.6,8,7.6,NA,NA,NA,7.25,8.5,9.25,"Korean"
2008266,8.2,6.25,9.8,NA,NA,NA,8,8.25,8.5,"Korean"
2009146,7.6,8,10,NA,NA,NA,6,7.25,7.75,"Korean"
2022601,6.4,7,9.4,NA,NA,NA,7.75,7.25,8,"Korean"
2024441,8,8.25,7.2,6.5,6.5,5.5,NA,NA,NA,"Korean"
2026787,7.8,7,5.4,NA,NA,NA,5.25,7,7.5,"Korean"
2033093,7.4,8,8,NA,NA,NA,8,8.25,8.75,"Korean"
2036627,7.4,7.75,8.4,NA,NA,NA,9.25,6.25,8.5,"Korean"
2037454,8,7.25,4.4,7,5.25,5.5,NA,NA,NA,"Korean"
2050218,8,5.75,9.4,NA,NA,NA,NA,NA,NA,"Korean"
2050882,NA,8.25,9.2,NA,NA,NA,7,NA,NA,"Korean"
2061454,7.6,7,4.8,6.75,6,5.5,NA,NA,NA,"Korean"
2061798,7.6,7.5,7.8,NA,NA,NA,7.25,7.75,9.25,"Korean"
2068214,7.2,6.75,7,7.75,6,5.75,NA,NA,NA,"Korean"
2069346,7.6,8,8.8,NA,NA,NA,NA,NA,NA,"Korean"
